Category	Component Extract	Allergen-code	Common name	Scientific name	Component	Biochemical designation
Grass pollen	E	g17	Bahia grass	Paspalum notatum
Grass pollen	E	g2	Bermuda grass	Cynodon dactylon
Grass pollen	C	g216	Bermuda grass	Cynodon dactylon	rCyn d 1	Beta-Expansin
Grass pollen	E	g7	Common reed	Phragmites communis
Grass pollen	C	g100	Perennial ryegrass	Lolium perenne	rLol p 1	Beta-Expansin
Grass pollen	E	g12	Rye	Secale cereale
Grass pollen	C	g205	Timothy	Phleum pratense	rPhl p 1	Beta-Expansin
Grass pollen	C	g206	Timothy	Phleum pratense	rPhl p 2	Expansin
Grass pollen	C	g215	Timothy	Phleum pratense	rPhl p 5.0101   grass Group 5/6
Grass pollen	C	g209	Timothy	Phleum pratense	rPhl p 6	grass Group 5/6
Grass pollen	C	g210	Timothy	Phleum pratense	rPhl p 7	Polcalcin
Grass pollen	C	g212	Timothy	Phleum pratense	rPhl p 12	Profilin
Tree pollen	E	t19	Acacia	Acacia mimosa
Tree pollen	C	t100	Alder	Alnus glutinosa	rAln g 1	PR-10
Tree pollen	C	t101	Alder	Alnus glutinosa	rAln g 4	Polcalcin
Tree pollen	C	t226	Arizona cypress Cupressus arizonica nCup a 1 Pectate Lyase
Tree pollen	E	t25	Ash	Fraxinus excelsior
Tree pollen	C	t103	Ash	Fraxinus excelsior	rFra e 1	Ole e 1-Family
Tree pollen	C	t300	Beech	Fagus sylvatica	rFag s 1	PR-10
Tree pollen	E	t14	Cottonwood	Populus nigra
Tree pollen	E	t222	Cypress	Cupressus sempervirens
Tree pollen	C	t105	Date palm	Phoenix dactylifera	rPho d 2	Profilin
Tree pollen	E	t8	Elm	Ulmus campestris
Tree pollen	E	t4	Hazel	Corylus avellana
Tree pollen	C	t102	Hazel	Corylus avellana	rCor a 1.0103	PR-10
Tree pollen	C	t241	London plane tree	Platanus acerifolia	rPla a 1	Plant Invertase inhibitor
Tree pollen	C	t301	London plane tree	Platanus acerifolia	nPla a 2	Polygalacturonase
Tree pollen	C	t302	London plane tree	Platanus acerifolia	rPla a 3	nsLTP
Tree pollen	E	t63	Mountain cedar	Juniperus ashei
Tree pollen	E	t71	Mulberry tree	Morus rubra
Tree pollen	C	t224	Olive	Olea Europaea	nOle e 1	Ole e 1-Family
Tree pollen	C	t240	Olive	Olea Europaea	rOle e 9	1,3 β Glucanase
Tree pollen	E	t305	Paper mulberry	Broussonetia papyrifera	Bro p
Tree pollen	C	t215	Silver birch	Betula verrucosa	rBet v 1	PR-10
Tree pollen	C	t216	Silver birch	Betula verrucosa	rBet v 2	Profilin
Tree pollen	C	t225	Silver birch	Betula verrucosa	rBet v 6	Isoflavone Reductase
Tree pollen	C	t303	Sugi	Cryptomeria japonica	rCry j 1	Pectate Lyase
Tree pollen	E	t304	Tree of heaven	Ailanthus altissima
Tree pollen	E	t10	Walnut	Juglans regia
Weed pollen	C	w301	Annual mercury	Mercurialis annua	rMer a 1	Profilin
Weed pollen	E	w300	Hemp (CBD)	Cannabis sativa
Weed pollen	C	w302	Hemp	Cannabis sativa	rCan s 3	nsLTP
Weed pollen	E	w10	Lamb's quarter	Chenopodium album
Weed pollen	C	w100	Lamb's quarter	Chenopodium album	rChe a 1	Ole e 1-Family
Weed pollen	E	w6	Mugwort	Artemisia vulgaris
Weed pollen	C	w231	Mugwort	Artemisia vulgaris	rArt v 1.0101	Plant Defensin
Weed pollen	C	w233	Mugwort Artemisia vulgaris	rArt v 3.0201	nsLTP
Weed pollen	E	w20	Nettle	Urtica dioica
Weed pollen	E	w14	Pigweed	Amaranthus retroflexus
Weed pollen	E	w1	Ragweed	Ambrosia artemisiifolia
Weed pollen	C	w230	Ragweed	Ambrosia artemisiifolia	rAmb a 1	Pectate Lyase
Weed pollen	C	w300	Ragweed	Ambrosia artemisiifolia	rAmb a 4	Plant Defensin
Weed pollen	E	w9	Ribwort	Plantago lanceolata
Weed pollen	C	w234	Ribwort	Plantago lanceolata	rPla l 1	Ole e 1-Family
Weed pollen	E	w11	Russian thistle	Salsola kali
Weed pollen	C	w232	Russian thistle	Salsola kali	rSal k 1	Pectin Methylesterase
Weed pollen	E	w21	Wall pellitory	Parietaria judaica
Weed pollen	C	w211	Wall pellitory	Parietaria judaica	rPar j 2	nsLTP
Dander & Epithelia	C	e94	Cat	Felis domesticus rFel d 1 Uteroglobin
Dander & Epithelia	C	e220	Cat	Felis domesticus nFel d 2 Serum Albumin
Dander & Epithelia	C	e228	Cat	Felis domesticus rFel d 4 Lipocalin
Dander & Epithelia	C	e300	Cat	Felis domesticus rFel d 7 Lipocalin
Dander & Epithelia	C	e100	Cattle	Bos domesticus rBos d 2 Lipocalin
Dander & Epithelia	C	e301	Djungarian hamster	Phodopus sungorus rPhod s 1 Lipocalin
Dander & Epithelia	C	e101	Dog	Canis familiaris	rCan f 1 Lipocalin
Dander & Epithelia	C	e102	Dog	Canis familiaris	rCan f 2 Lipocalin
Dander & Epithelia	C	e221	Dog	Canis familiaris	nCan f 3 Serum Albumin
Dander & Epithelia	C	e302	Dog	Canis familiaris	rCan f 4 Lipocalin
Dander & Epithelia	E	e308	Dog	 male urine (incl. Can f 5) Canis familiaris
Dander & Epithelia	C	e303	Dog	Canis familiaris	rCan f 6 Lipocalin
Dander & Epithelia	C	e304	Dog	Canis familiaris	rCan f Fel d 1 like Fel d 1 like
Dander & Epithelia	E	e80	Goat	Capra hircus
Dander & Epithelia	C	e305	Guinea pig	Cavia porcellus rCav p 1 Lipocalin
Dander & Epithelia	C	e227	Horse	Equus caballus rEqu c 1 Lipocalin
Dander & Epithelia	C	e306	Horse	Equus caballus nEqu c 3 Serum Albumin
Dander & Epithelia	C	e307	Horse	Equus caballus rEqu c 4 Latherin
Dander & Epithelia	C	e103	Mouse	Mus musculus rMus m 1 Lipocalin
Dander & Epithelia	E	e83	Pig	Sus domesticus
Dander & Epithelia	C	e309	Rabbit	Oryctolagus cuniculus rOry c 1 Lipocalin
Dander & Epithelia	C	e310	Rabbit	Oryctolagus cuniculus rOry c 2 Lipocalin
Dander & Epithelia	C	e311	Rabbit	Oryctolagus cuniculus rOry c 3 Secretoglobin
Dander & Epithelia	E	e73	Rat	Rattus norvegicus
Dander & Epithelia	E	e81	Sheep	Ovis aries
Mites & Cockroaches	E	d70	Acarus siro	Acarus siro
Mites & Cockroaches	E	i206	American cockroach	Periplaneta americana
Mites & Cockroaches	C	i300	American cockroach	Periplaneta americana rPer a 7 Tropomyosin
Mites & Cockroaches	C	d100	American house dust mite	Dermatophagoides farinae rDer f 1 Cysteine Protease
Mites & Cockroaches	C	d101	American house dust mite	Dermatophagoides farinae rDer f 2 NPC2 Family
Mites & Cockroaches	C	d300	Blomia tropicalis	Blomia tropicalis rBlo t 5 Mite, Group 5
Mites & Cockroaches	C	d301	Blomia tropicalis	Blomia tropicalis rBlo t 10 Tropomyosin
Mites & Cockroaches	C	d302	Blomia tropicalis	Blomia tropicalis rBlo t 21 unknown
Mites & Cockroaches	C	d202	European house dust mite	Dermatophagoides pteronyssinus	rDer p 1 Cysteine Protease
Mites & Cockroaches	C	d203	European house dust mite	Dermatophagoides pteronyssinus	rDer p 2 NPC2 Family
Mites & Cockroaches	C	d103	European house dust mite	Dermatophagoides pteronyssinus	rDer p 5 unknown
Mites & Cockroaches	C	d104	European house dust mite	Dermatophagoides pteronyssinus	rDer p 7 Mite Group 7
Mites & Cockroaches	C	d205	European house dust mite	Dermatophagoides pteronyssinus	rDer p 10 Tropomyosin
Mites & Cockroaches	C	d102	European house dust mite	Dermatophagoides pteronyssinus	rDer p 11 Myosin, heavy chain
